age,education
17,395
18,550
19,712
20,753
21,720
22,765
23,877
24,798
25,841
26,785
27,835
28,867
29,813
30,861
31,888
32,828
33,875
34,886
35,876
36,898
37,858
38,827
39,816
40,794
41,808
42,780
43,770
44,724
45,734
46,737
47,708
48,543
49,577
50,602
51,595
52,478
53,464
54,415
55,419
56,366
57,358
58,366
59,355
60,312
61,300
62,258
63,230
64,208
65,178
66,150
67,151
68,120
69,108
70,89
71,72
72,67
73,64
74,51
75,45
76,46
77,29
78,23
79,22
80,22
81,20
82,12
83,6
84,10
85,3
86,1
87,1
88,3
90,43
